,Week,Team Name,ScoredPoints,FirstDowns,PassY,RushY,TurnoversAllowed,FirstAllowed,YardsAllowed,PassYardsAllowed,RushingYardsAllowed,Turnovers
68,1,Bucaneers,17.0,21.0,174.0,121.0,4.0,17.0,256.0,158.0,98.0,2.0
69,2,Bucaneers,20.0,16.0,189.0,100.0,,20.0,352.0,313.0,39.0,1.0
70,3,Bucaneers,31.0,24.0,355.0,144.0,1.0,17.0,384.0,312.0,72.0,2.0
71,4,Bucaneers,55.0,27.0,376.0,88.0,1.0,36.0,518.0,490.0,28.0,4.0
72,5,Bucaneers,24.0,19.0,158.0,94.0,,25.0,457.0,345.0,112.0,1.0
73,6,Bucaneers,26.0,23.0,365.0,42.0,7.0,17.0,268.0,209.0,59.0,1.0
74,7,Bucaneers,,,,,,,,,,
75,8,Bucaneers,23.0,23.0,283.0,106.0,4.0,16.0,246.0,174.0,72.0,1.0
76,9,Bucaneers,34.0,29.0,319.0,99.0,1.0,31.0,492.0,347.0,145.0,1.0
77,10,Bucaneers,30.0,26.0,339.0,118.0,3.0,20.0,417.0,342.0,75.0,2.0
78,11,Bucaneers,17.0,21.0,298.0,36.0,4.0,21.0,328.0,219.0,109.0,
79,12,Bucaneers,35.0,20.0,313.0,133.0,2.0,22.0,337.0,280.0,57.0,2.0
80,13,Bucaneers,28.0,19.0,241.0,74.0,1.0,14.0,242.0,193.0,49.0,4.0
81,14,Bucaneers,38.0,29.0,467.0,75.0,4.0,16.0,309.0,243.0,66.0,1.0
82,15,Bucaneers,38.0,23.0,446.0,49.0,1.0,16.0,295.0,250.0,45.0,3.0
83,16,Bucaneers,20.0,19.0,329.0,106.0,5.0,15.0,229.0,161.0,68.0,2.0
84,17,Bucaneers,22.0,14.0,193.0,136.0,3.0,28.0,373.0,286.0,87.0,1.0
85,1,Bears,3.0,16.0,208.0,46.0,1.0,13.0,213.0,166.0,47.0,
86,2,Bears,16.0,18.0,120.0,153.0,,27.0,372.0,282.0,90.0,1.0
87,3,Bears,31.0,21.0,208.0,90.0,1.0,25.0,356.0,287.0,69.0,5.0
88,4,Bears,16.0,17.0,197.0,72.0,,15.0,222.0,182.0,40.0,2.0
89,5,Bears,21.0,15.0,194.0,42.0,2.0,25.0,398.0,229.0,169.0,2.0
90,6,Bears,,,,,,,,,,
91,7,Bears,25.0,16.0,235.0,17.0,2.0,24.0,424.0,273.0,151.0,
92,8,Bears,16.0,26.0,226.0,162.0,2.0,11.0,231.0,195.0,36.0,1.0
93,9,Bears,14.0,10.0,102.0,62.0,1.0,26.0,373.0,227.0,146.0,
94,10,Bears,20.0,13.0,145.0,81.0,,21.0,357.0,259.0,98.0,1.0
95,11,Bears,7.0,17.0,193.0,74.0,1.0,13.0,283.0,173.0,110.0,2.0
96,12,Bears,19.0,20.0,270.0,65.0,2.0,14.0,243.0,134.0,109.0,1.0
97,13,Bears,24.0,22.0,331.0,88.0,1.0,19.0,364.0,259.0,105.0,1.0
98,14,Bears,31.0,24.0,231.0,151.0,2.0,22.0,408.0,326.0,82.0,
99,15,Bears,13.0,20.0,319.0,96.0,3.0,12.0,292.0,192.0,100.0,
100,16,Bears,3.0,18.0,133.0,101.0,,25.0,350.0,244.0,106.0,
101,17,Bears,21.0,24.0,179.0,158.0,1.0,14.0,300.0,126.0,174.0,3.0
102,1,Chiefs,40.0,24.0,378.0,113.0,,18.0,428.0,347.0,81.0,2.0
103,2,Chiefs,28.0,24.0,436.0,31.0,1.0,19.0,307.0,178.0,129.0,2.0
104,3,Chiefs,33.0,27.0,363.0,140.0,,29.0,452.0,249.0,203.0,
105,4,Chiefs,34.0,29.0,315.0,123.0,3.0,29.0,447.0,261.0,186.0,2.0
106,5,Chiefs,13.0,18.0,288.0,36.0,1.0,25.0,331.0,151.0,180.0,1.0
